                        ," [0,30)     "," [30,60)    "," [60,90)    "," [90,120)   "," [120,150)  "," [150,180)   "," [180,210)  "," [210,240) "," [240,270) "," [270,300) "," [300,330) "," [330,360) "," [360,390) "," [390,420) "," [420,450) "," [450,480)  "," [480,510) "," [510,540) "," [540,570) "," [570,600) "," [600,630) "," [630,660) "," [660,690) "," [690,720) "," [720,750) "," [750,780) "," [780,810) "," [810,840) "," [840,870) "," [870,900) "," [900,inf) "
" retries=2,timeout=0.4  ",2081.26667,2159.26667,6139.2,159,5227.46667,24281.46667,26.26667,93.6,69.93333,2.13333,112.8,28,58.6,561.4,14.53333,2743.46667,166.26667,1.46667,13.53333,1.86667,0.6,12.2,0.2,42.13333,22.93333,4.26667,279.53333,0.13333,0.33333,0.86667,43.33333
" retries=2,timeout=0.6  ",920.53333,2260,39.73333,22.2,5012.66667,27662.26667,4313.13333,421.8,195.93333,22.26667,1.2,12.66667,1.26667,2.93333,2.46667,3019.53333,236,370.46667,56.93333,3.06667,0.93333,0,0.2,0,0.4,1.66667,324,36.06667,9.46667,4.73333,39
" retries=2,timeout=0.8  ",5174.26667,2293.2,2.66667,82.33333,7173.4,25829.66667,53.26667,0.4,4.73333,15.2,443.66667,16.4,1.26667,0.73333,28.73333,3019.86667,189.26667,1.33333,0.13333,0.4,8.13333,39.33333,0.06667,0,0.2,14.13333,318,0.2,0,0,36.93333
" retries=2,timeout=1    ",798.53333,2314.06667,486.66667,3195.53333,5506.33333,26596.13333,21.53333,5.86667,4.73333,0.33333,0.46667,16,7.66667,46.2,389.26667,2919.53333,174.6,0.8,0.66667,0.26667,0,0,1.06667,3.93333,5.13333,34.13333,303.26667,0.8,0,0.06667,39.2
" retries=4,timeout=0.4  ",1897.93333,2258.6,7081.46667,156.53333,5989.73333,27993.6,18.93333,92.4,46.73333,1.26667,132.86667,30.73333,66.26667,654.8,7.93333,3162.33333,190.8,0.8,11.06667,0.73333,0.66667,13.73333,0.4,50.86667,27.86667,3.93333,325.93333,0.2,0,0.66667,48.06667
" retries=4,timeout=0.6  ",670.4,2263.6,32.53333,59.8,5048,27686.33333,4301.73333,409,172.4,12.53333,1.46667,13.6,1.2,2.73333,5.26667,2995.2,239.53333,380.26667,56.46667,1.26667,0.73333,0.06667,0.06667,0,0.73333,1.33333,316.53333,32.93333,10.2,5.93333,39.06667
" retries=4,timeout=0.8  ",4976.26667,2281.26667,1.4,61.8,7173.8,25880.06667,45.66667,0.06667,1.13333,16.2,427.53333,20.26667,1.2,0.4,25.8,3059.06667,184.26667,0.66667,0,0.2,7.93333,33.6,0.06667,0,0,12.2,308.13333,0.26667,0,0,40.8
" retries=4,timeout=1    ",638.93333,2310.33333,491.46667,3210.73333,5525.4,26608.66667,16.66667,0.4,0.8,0.2,1.2,15.8,8.2,43.4,383.26667,2906,177.53333,1.13333,0,0.06667,0,0,0.93333,3.93333,5.2,35.2,300.66667,0.2,0.06667,0,38.73333
" retries=6,timeout=0.4  ",1852,2266.53333,7066.66667,152.06667,5980.33333,28027.26667,18.26667,90,44.13333,1.6,125.26667,29.53333,68.06667,659.4,9.26667,3153.2,187.66667,0.53333,12.2,0.53333,0.6,12.8,0.33333,46.46667,26.46667,4.53333,333.06667,0.26667,0.06667,1.2,44.86667
" retries=6,timeout=0.6  ",667.6,2263.86667,31.6,60.2,5040,27696.66667,4308.06667,410.53333,171.06667,11.26667,1.8,13.4,0.93333,2.66667,4.8,2998.13333,232.33333,380.2,58.4,1.46667,1.06667,0.2,0.13333,0,0.73333,1.53333,315.2,35.06667,9.73333,5.66667,40.4
" retries=6,timeout=0.8  ",4979.8,2282.8,1.93333,61.8,7193.2,25901.33333,47.53333,0.2,1.26667,15.93333,427.06667,19.2,1.13333,0.26667,25.2,3030.93333,183.06667,0.6,0.06667,0.2,7.2,35.13333,0.06667,0,0.06667,12.06667,313.06667,0.2,0,0,41.4
" retries=6,timeout=1    ",636.06667,2312.13333,491.6,3217.73333,5494,26627.53333,16.93333,0.26667,0.73333,0.2,1,15.33333,7.4,44.4,380.33333,2903.73333,182,0.8,0,0.06667,0,0.13333,1.06667,3.53333,5.06667,36.2,301.86667,0.13333,0.06667,0,38.13333
" retries=8,timeout=0.4  ",1857.2,2265.2,7065.66667,154.73333,5985.86667,28013.26667,18.4,91.06667,44.4,1.33333,125,29.4,68.2,662.93333,9.53333,3145.33333,187.73333,0.53333,12,0.53333,0.66667,12.53333,0.26667,46.2,25.66667,4.66667,334.2,0.33333,0.06667,1.06667,44.8
" retries=8,timeout=0.6  ",667.6,2263.86667,31.6,60.2,5040,27696.66667,4308.06667,410.53333,171.06667,11.26667,1.8,13.4,0.93333,2.66667,4.8,2998.13333,232.33333,380.2,58.4,1.46667,1.06667,0.2,0.13333,0,0.73333,1.53333,315.2,35.06667,9.73333,5.66667,40.4
" retries=8,timeout=0.8  ",4653.73333,2133.4,2.13333,58.26667,6716.8,24215.73333,43.26667,0.2,1.26667,14.86667,400.53333,18.13333,1.06667,0.33333,23.66667,2828,173.4,0.6,0.06667,0.2,6.8,33,0.06667,0,0.06667,11.46667,291.06667,0.2,0,0,38.33333
" retries=8,timeout=1    ",636.06667,2312.13333,491.6,3217.73333,5494,26627.53333,16.93333,0.26667,0.73333,0.2,1,15.33333,7.4,44.4,380.33333,2903.73333,182,0.8,0,0.06667,0,0.13333,1.06667,3.53333,5.06667,36.2,301.86667,0.13333,0.06667,0,38.13333
" retries=10,timeout=0.4 ",1857.2,2265.2,7065.66667,154.73333,5985.86667,28013.26667,18.4,91.06667,44.4,1.33333,125,29.4,68.2,662.93333,9.53333,3145.33333,187.73333,0.53333,12,0.53333,0.66667,12.53333,0.26667,46.2,25.66667,4.66667,334.2,0.33333,0.06667,1.06667,44.8
" retries=10,timeout=0.6 ",667.6,2263.86667,31.6,60.2,5040,27696.66667,4308.06667,410.53333,171.06667,11.26667,1.8,13.4,0.93333,2.66667,4.8,2998.13333,232.33333,380.2,58.4,1.46667,1.06667,0.2,0.13333,0,0.73333,1.53333,315.2,35.06667,9.73333,5.66667,40.4
" retries=10,timeout=0.8 ",4979.8,2282.8,1.93333,61.8,7193.2,25901.33333,47.53333,0.2,1.26667,15.93333,427.06667,19.2,1.13333,0.26667,25.2,3030.93333,183.06667,0.6,0.06667,0.2,7.2,35.13333,0.06667,0,0.06667,12.06667,313.06667,0.2,0,0,41.4
" retries=10,timeout=1   ",636.06667,2312.13333,491.6,3217.73333,5494,26627.53333,16.93333,0.26667,0.73333,0.2,1,15.33333,7.4,44.4,380.33333,2903.73333,182,0.8,0,0.06667,0,0.13333,1.06667,3.53333,5.06667,36.2,301.86667,0.13333,0.06667,0,38.13333
