                        , index=1  ,%,ci, index=2  ,%,ci, index=3 ,%,ci, index=4  ,%,ci, index=5   ,%,ci
 confirmedMode          ,61.6,61.6,1.61837,87.73333,87.73333,0.23924,3.93333,98.33325,0.05981,39.86667,79.73334,0.28741,64.93333,51.946664,1.53058
 noConfirmedMode        ,87.46667,87.46667,0.36914,97.33333,97.33333,0.15355,2.8,70,0.07325,44.26667,88.53334,0.3023,110.46667,88.373336,0.66236
" retries=6,timeout=0.2  ",85.73333,85.73333,0.11547,88.93333,88.93333,0.03374,3.73333,93.33325,0.13495,44.33333,88.66666,0.06376,98.33333,78.666664,0.21902
" retries=6,timeout=0.4  ",84,84,0.20363,88.86667,88.86667,0.04598,4,100,0,43.86667,87.73334,0.04598,94.46667,75.573336,0.29577
" retries=6,timeout=0.6  ",83.46667,83.46667,0.14706,88.93333,88.93333,0.07757,4.33333,108.33325,0.16869,43.93333,87.86666,0.07757,91.93333,73.546664,0.32561
" retries=6,timeout=0.8  ",81.73333,81.73333,0.25408,88.8,88.8,0.07325,4,100,0,43.13333,86.26666,0.08362,91.2,72.96,0.38636
" retries=6,timeout=1    ",78.2,78.2,0.34288,88.26667,88.26667,0.09195,4,100,0,42.6,85.2,0.1623,86.13333,68.906664,0.56064
" retries=7,timeout=0.2  ",86,86,0.12097,89,89,0,3.73333,93.33325,0.13495,44.2,88.4,0.07325,98,78.4,0.19755
" retries=7,timeout=0.4  ",83.93333,83.93333,0.19423,88.93333,88.93333,0.03374,4,100,0,43.93333,87.86666,0.05981,94.86667,75.893336,0.33081
" retries=7,timeout=0.6  ",83.4,83.4,0.15461,88.93333,88.93333,0.07757,4.33333,108.33325,0.16869,43.86667,87.73334,0.08362,91.26667,73.013336,0.34735
" retries=7,timeout=0.8  ",82.13333,82.13333,0.23094,89,89,0.04939,4,100,0,43,86,0.11043,91.6,73.28,0.3656
" retries=7,timeout=1    ",77.33333,77.33333,0.34806,88.13333,88.13333,0.13852,4,100,0,42.6,85.2,0.1623,85.4,68.32,0.64921
" retries=8,timeout=0.2  ",86,86,0.11043,89,89,0,3.73333,93.33325,0.13495,44.26667,88.53334,0.07757,97.93333,78.346664,0.20641
" retries=8,timeout=0.4  ",83.93333,83.93333,0.19423,89,89,0,4,100,0,43.93333,87.86666,0.05981,94.93333,75.946664,0.33301
" retries=8,timeout=0.6  ",83.46667,83.46667,0.14706,88.93333,88.93333,0.07757,4.33333,108.33325,0.16869,43.86667,87.73334,0.08362,91.8,73.44,0.36022
" retries=8,timeout=0.8  ",81.6,81.6,0.23582,88.93333,88.93333,0.07757,4,100,0,42.86667,85.73334,0.10895,91.73333,73.386664,0.27704
" retries=8,timeout=1    ",77.6,77.6,0.36892,88.13333,88.13333,0.13852,4,100,0,42.6,85.2,0.1623,86,68.8,0.57383
" retries=9,timeout=0.2  ",85.86667,85.86667,0.19042,89,89,0,3.73333,93.33325,0.13495,44.2,88.4,0.07325,97.86667,78.293336,0.18391
" retries=9,timeout=0.4  ",84.33333,84.33333,0.17577,88.93333,88.93333,0.05981,4,100,0,43.86667,87.73334,0.06748,94.93333,75.946664,0.3023
" retries=9,timeout=0.6  ",82.86667,82.86667,0.20283,88.86667,88.86667,0.09711,4.33333,108.33325,0.16869,43.8,87.6,0.10121,91.46667,73.173336,0.3381
" retries=9,timeout=0.8  ",81.4,81.4,0.21976,88.93333,88.93333,0.05981,4,100,0,43,86,0.12097,91.4,73.12,0.47576
" retries=9,timeout=1    ",77.46667,77.46667,0.35909,88.2,88.2,0.13252,4,100,0,42.66667,85.33334,0.15355,85.4,68.32,0.64921
" retries=10,timeout=0.2 ",86,86,0.12097,89,89,0,3.73333,93.33325,0.13495,44.33333,88.66666,0.08065,98,78.4,0.20953
" retries=10,timeout=0.4 ",84,84,0.17807,88.93333,88.93333,0.03374,4,100,0,43.86667,87.73334,0.06748,94.86667,75.893336,0.3381
" retries=10,timeout=0.6 ",83.53333,83.53333,0.14706,88.93333,88.93333,0.07757,4.33333,108.33325,0.16869,43.93333,87.86666,0.07757,91.2,72.96,0.34642
" retries=10,timeout=0.8 ",81.73333,81.73333,0.24429,89,89,0.04939,4,100,0,42.93333,85.86666,0.10438,91.86667,73.493336,0.36914
" retries=10,timeout=1   ",77.6,77.6,0.36892,88.13333,88.13333,0.13852,4,100,0,42.6,85.2,0.1623,86,68.8,0.57383
