                        ,"[0,30)","[30,60)","[60,90)","[90,120)","[120,150)","[150,180)","[180,210)","[210,240)","[240,270)","[270,300)"," [300,330) "," [330,360) "," [360,390) "," [390,420) "," [420,450) "," [450,480) "," [480,510) "," [510,540) "," [540,570) "," [570,600) "," [600,630) "," [630,660) "," [660,690) "," [690,720) "," [720,750) "," [750,780) "," [780,810) "," [810,840) "," [840,870) "," [870,900) "," [900,inf) "
" retries=6,timeout=0.2  ",185.93333,51.4,17.93333,9.86667,22.2,56.86667,4.6,5.53333,1.86667,9.33333,0.33333,4,0.8,2.46667,0.93333,6.66667,0.53333,0.2,0.06667,0.53333,0.6,0,0.2,0.06667,0.06667,0,0.66667,0,0,0.06667,0
" retries=6,timeout=0.4  ",101.66667,0.86667,18.6,1.06667,27.4,60.26667,7.46667,104.26667,5.4,2.4,0.73333,0.06667,0.06667,1.66667,0.33333,6.73333,0.53333,1.2,3.73333,0.33333,0,0.06667,0,0.26667,0.2,0,0.6,0,0.13333,0.13333,0.4
" retries=6,timeout=0.6  ",108.73333,0.46667,0.33333,0.46667,17.86667,54.6,14.13333,106.8,5.93333,2.73333,0.66667,0.06667,0,0,0.06667,8,0.6,2.06667,4.2,0.26667,0.06667,0,0,0,0,0,1,0.06667,0.26667,0.26667,0
" retries=6,timeout=0.8  ",107.66667,1.13333,7.4,3.93333,23.53333,49.4,3,104,5.2,3.6,1.6,0,0.33333,0.06667,0.46667,7.13333,0.26667,0.4,4.26667,0.26667,0,0.06667,0,0.06667,0,0.2,0.46667,0,0,0.13333,0.13333
" retries=6,timeout=1    ",93.66667,0.33333,1.86667,7.73333,19.46667,51.66667,9.06667,106.2,6.8,2.4,0.2,0.06667,0,0.2,1.13333,6,0.86667,1.46667,4.06667,0.4,0,0,0,0,0,0.06667,0.6,0,0.2,0.06667,0.06667
" retries=7,timeout=0.2  ",185.26667,51.73333,17.86667,8.93333,22.53333,57.46667,4.86667,5.6,2.2,9.46667,0.33333,4.06667,0.86667,2.53333,1,7,0.46667,0.33333,0.2,0.6,0.46667,0,0.33333,0.13333,0.06667,0,0.73333,0.06667,0,0,0.13333
" retries=7,timeout=0.4  ",100.26667,0.86667,19.2,1.46667,27.93333,60,7.66667,103.66667,5.66667,2.8,0.6,0.06667,0.13333,1.33333,0.33333,7.93333,0.53333,1.33333,4.26667,0.33333,0,0.06667,0,0.2,0.06667,0,0.46667,0,0.06667,0.2,0.33333
" retries=7,timeout=0.6  ",108,0.46667,0.33333,0.46667,17.93333,53.6,15.4,106.8,6.4,2.86667,0.66667,0.06667,0,0,0.06667,7.93333,0.73333,2.06667,4,0.26667,0.06667,0,0,0,0,0,0.8,0,0.33333,0.26667,0.13333
" retries=7,timeout=0.8  ",106.93333,0.93333,6.53333,4.93333,22.6,51.13333,3.33333,104.66667,5.46667,2.73333,1.66667,0,0.33333,0.26667,0.26667,6.66667,0.33333,0.4,4.13333,0.13333,0.06667,0.13333,0,0.06667,0,0.06667,0.53333,0,0.13333,0,0.26667
" retries=7,timeout=1    ",94,0.46667,1.8,7.86667,19.2,51.06667,9.66667,105.2,6.73333,2.06667,0.2,0.06667,0,0.26667,1.2,6.46667,0.93333,1.33333,4.26667,0.33333,0,0,0,0,0,0.06667,0.66667,0,0.2,0.13333,0.06667
" retries=8,timeout=0.2  ",185.8,51.66667,16.86667,9.13333,22.6,56.46667,5.13333,5.66667,2.26667,9.4,0.33333,4.13333,0.73333,2.8,1,7,0.53333,0.26667,0.2,0.66667,0.53333,0,0.26667,0.06667,0.06667,0,0.73333,0,0,0,0
" retries=8,timeout=0.4  ",100.53333,0.86667,19.06667,1.4,28.13333,59.73333,7.8,103.86667,5.53333,2.73333,0.66667,0.06667,0.13333,1.26667,0.33333,7.53333,0.53333,1.26667,4.13333,0.33333,0,0.06667,0,0.2,0.13333,0,0.46667,0,0.13333,0.2,0.33333
" retries=8,timeout=0.6  ",108.4,0.46667,0.33333,0.46667,18.2,54.2,14.66667,106.66667,6.2,2.73333,0.66667,0.06667,0,0,0.06667,7.86667,0.53333,2.06667,4.26667,0.26667,0.06667,0,0,0,0,0,0.86667,0,0.33333,0.26667,0.13333
" retries=8,timeout=0.8  ",106.6,0.86667,7.26667,4.53333,22.46667,51,3.4,103.2,5.73333,2.93333,1.4,0,0.26667,0.2,0.46667,6.93333,0.4,0.4,4.2,0.33333,0.06667,0.06667,0,0.06667,0,0.13333,0.53333,0,0.13333,0,0.13333
" retries=8,timeout=1    ",93.6,0.46667,1.8,7.8,19.46667,51.73333,9.6,105.33333,6.86667,1.93333,0.2,0.06667,0,0.26667,1.2,6.2,0.93333,1.4,4.2,0.4,0,0,0,0,0,0,0.6,0,0.2,0.13333,0.06667
" retries=9,timeout=0.2  ",185.6,52.6,18.2,8.86667,22.13333,57.8,4.93333,5.93333,2.13333,9,0.46667,3.93333,0.8,2.53333,0.93333,7.06667,0.4,0.4,0.2,0.46667,0.46667,0,0.4,0.2,0.06667,0,0.66667,0.06667,0,0,0.13333
" retries=9,timeout=0.4  ",102.26667,0.93333,19.06667,1.33333,26.53333,60.4,7.33333,105.2,5.4,2.2,0.6,0.06667,0.13333,1.26667,0.26667,7.33333,0.6,1,4,0.26667,0,0.06667,0,0.2,0.13333,0,0.6,0,0.2,0.26667,0.33333
" retries=9,timeout=0.6  ",109.8,0.46667,0.33333,0.46667,18.73333,53.8,14.8,105.13333,6.2,2.86667,0.53333,0.13333,0,0,0.06667,7.26667,0.66667,2.2,4.2,0.26667,0,0,0,0,0,0,0.86667,0.06667,0.33333,0.26667,0.2
" retries=9,timeout=0.8  ",106.86667,0.93333,6.6,4.46667,23,50.33333,3.46667,104.46667,5.53333,2.93333,1.53333,0,0.26667,0.13333,0.46667,7.46667,0.33333,0.46667,4.13333,0.2,0,0.06667,0,0.06667,0,0,0.53333,0,0,0,0.13333
