                        ," [1,2)    "," [2,3)   "," [3,4)   "," [4,5)   "," [5,6)   "," [6,7)   "," [7,8)   ","Ci:1,2","Ci:2,3","Ci:3,4","Ci:4,5","Ci:5,6","Ci:6,7","Ci:7,8"
" retries=6,timeout=0.2  ",26.8,4.17333,0.54667,0.52,0.06667,0.01333,0,0.12416,0.11513,0.04469,0.0293,0.01275,0.00675,0
" retries=6,timeout=0.4  ",7.17333,1.2,0.2,0.01333,0,0,0,0.15234,0.07651,0.02794,0.00675,0,0,0
" retries=6,timeout=0.6  ",4.49333,0.49333,0.06667,0,0,0,0,0.08772,0.04926,0.01613,0,0,0,0
" retries=6,timeout=0.8  ",4.86667,0.4,0.02667,0.01333,0,0,0,0.09035,0.03561,0.0092,0.00675,0,0,0
" retries=6,timeout=1    ",4.44,0.72,0.08,0,0,0,0,0.11696,0.06231,0.02164,0,0,0,0
" retries=7,timeout=0.2  ",26.62667,4.30667,0.53333,0.49333,0.08,0.01333,0.01333,0.1361,0.12411,0.04703,0.03678,0.01653,0.00675,0.00675
" retries=7,timeout=0.4  ",7.26667,1.14667,0.13333,0.02667,0,0,0,0.13817,0.07617,0.02908,0.0092,0,0,0
" retries=7,timeout=0.6  ",4.72,0.52,0.08,0,0,0,0,0.1016,0.04919,0.01653,0,0,0,0
" retries=7,timeout=0.8  ",4.62667,0.41333,0.04,0,0,0,0,0.09821,0.03196,0.01082,0,0,0,0
" retries=7,timeout=1    ",4.62667,0.77333,0.10667,0,0,0,0,0.12252,0.06616,0.02392,0,0,0,0
" retries=8,timeout=0.2  ",26.6,4.24,0.6,0.54667,0.06667,0.01333,0,0.14177,0.12886,0.04073,0.03625,0.01275,0.00675,0
" retries=8,timeout=0.4  ",7.24,1.14667,0.14667,0.01333,0,0,0,0.13976,0.07617,0.02874,0.00675,0,0,0
" retries=8,timeout=0.6  ",4.57333,0.50667,0.08,0,0,0,0,0.07578,0.05024,0.01653,0,0,0,0
" retries=8,timeout=0.8  ",4.81333,0.46667,0.02667,0,0,0,0,0.09701,0.0438,0.0092,0,0,0,0
" retries=8,timeout=1    ",4.49333,0.77333,0.10667,0,0,0,0,0.10904,0.06616,0.02392,0,0,0,0
" retries=9,timeout=0.2  ",26.58667,4.30667,0.53333,0.52,0.10667,0.01333,0.01333,0.13343,0.12172,0.04703,0.038,0.01672,0.00675,0.00675
" retries=9,timeout=0.4  ",6.89333,1.29333,0.14667,0.02667,0,0,0,0.13136,0.08432,0.02512,0.0092,0,0,0
" retries=9,timeout=0.6  ",4.81333,0.61333,0.08,0,0,0,0,0.10975,0.04785,0.01653,0,0,0,0
" retries=9,timeout=0.8  ",4.65333,0.52,0.02667,0,0,0,0,0.09343,0.04716,0.0092,0,0,0,0
" retries=9,timeout=1    ",4.54667,0.74667,0.10667,0,0,0,0,0.11239,0.06733,0.02392,0,0,0,0
" retries=10,timeout=0.2 ",26.65333,4.2,0.57333,0.53333,0.08,0.01333,0,0.14431,0.12954,0.0429,0.03783,0.01325,0.00675,0
" retries=10,timeout=0.4 ",6.94667,1.26667,0.14667,0.04,0,0,0,0.14566,0.08125,0.03039,0.01082,0,0,0
" retries=10,timeout=0.6 ",4.61333,0.52,0.06667,0,0,0,0,0.1102,0.04919,0.01613,0,0,0,0
" retries=10,timeout=0.8 ",4.61333,0.48,0.02667,0,0,0,0,0.09651,0.04049,0.0092,0,0,0,0
" retries=10,timeout=1   ",4.49333,0.77333,0.10667,0,0,0,0,0.10904,0.06616,0.02392,0,0,0,0
